Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Year
"Rancho Family Medical Group, Inc.",CA,Healthcare Provider,10480,2024-03-11,Hacking/IT Incident,Network Server,Yes,,2024
"Blue Ridge Pediatric & Adolescent Medicine, Inc.",NC,Healthcare Provider,39282,2024-03-11,Hacking/IT Incident,Network Server,No,,2024
UC San Diego Health Hillcrest- Hillcrest Medical Center,CA,Healthcare Provider,1642,2024-03-08,Hacking/IT Incident,Email,No,,2024
"Orsini Pharmaceutical Services, LLC",IL,Healthcare Provider,1433,2024-03-08,Hacking/IT Incident,Email,No,,2024
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics",CA,Healthcare Provider,2260,2024-03-07,Hacking/IT Incident,Network Server,No,,2024
Dental Group of Amarillo,TX,Healthcare Provider,3821,2024-03-06,Hacking/IT Incident,Network Server,No,,2024
Orthopedic Associates of Flower Mound PLLC,TX,Healthcare Provider,1759,2024-03-06,Hacking/IT Incident,Email,No,,2024
Seaglass Chiropractic,NJ,Healthcare Provider,650,2024-03-06,Theft,"Laptop, Other Portable Electronic Device",No,,2024
University of Wisconsin Hospitals and Clinics Authority ,WI,Healthcare Provider,85902,2024-03-05,Hacking/IT Incident,Email,No,,2024
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee",TN,Health Plan,1251,2024-03-05,Hacking/IT Incident,Network Server,No,,2024
"Vail Summit Orthopaedics, LLC (“VSON”)",CO,Healthcare Provider,1138,2024-03-04,Hacking/IT Incident,Network Server,No,,2024
"Bay Surgical Specialists, LLC",FL,Healthcare Provider,1505,2024-03-04,Hacking/IT Incident,Network Server,Yes,,2024
Lake of the Woods County Social Services,MN,Healthcare Provider,537,2024-03-04,Hacking/IT Incident,Network Server,No,,2024
"Yakima Valley Radiology, PC",WA,Healthcare Provider,235249,2024-03-01,Hacking/IT Incident,Network Server,No,,2024
"Cherry Street Services, Inc. d/b/a Cherry Health ",MI,Healthcare Provider,181005,2024-02-29,Hacking/IT Incident,Network Server,No,,2024
DGA-Producer Pension & Health Plans,CA,Health Plan,4211,2024-02-29,Hacking/IT Incident,Network Server,Yes,,2024
Highland Health Systems,AL,Healthcare Provider,83543,2024-02-29,Hacking/IT Incident,Network Server,No,,2024
"Eastern Radiologists, Inc",NC,Healthcare Provider,886746,2024-02-29,Hacking/IT Incident,Network Server,No,,2024
"Ada Technologies, Inc. ",OH,Health Plan,2398,2024-02-29,Hacking/IT Incident,Network Server,No,,2024
kmj Health Solutions,MI,Business Associate,2191,2024-02-28,Hacking/IT Incident,Network Server,Yes,,2024
Oakland Community Health Network,MI,Health Plan,607,2024-02-28,Unauthorized Access/Disclosure,Email,No,,2024
"Northeast Orthopedics and Sports Medicine, PLLC",NY,Healthcare Provider,177101,2024-02-27,Hacking/IT Incident,Network Server,No,,2024
Ascend Healthcare Management LLC,AZ,Healthcare Provider,791,2024-02-26,Hacking/IT Incident,Other,No,,2024
Scurry County Hospital District dba Cogdell Memorial Hospital,TX,Healthcare Provider,86981,2024-02-24,Hacking/IT Incident,Network Server,No,,2024
"MedQ, Inc.",TX,Business Associate,54725,2024-02-23,Hacking/IT Incident,Network Server,Yes,,2024
UNITE HERE ,NY,Business Associate,791273,2024-02-23,Hacking/IT Incident,Network Server,Yes,,2024
Santa Clarita Community College District,CA,Health Plan,2324,2024-02-23,Hacking/IT Incident,Network Server,Yes,,2024
"OrthopedicsNY, LLP",NY,Healthcare Provider,656086,2024-02-23,Hacking/IT Incident,Network Server,No,,2024
Prague Regional Memorial Hospital ,OK,Healthcare Provider,1347,2024-02-22,Hacking/IT Incident,Email,No,,2024
Washington County Hospital and Nursing Home,AL,Healthcare Provider,29346,2024-02-22,Hacking/IT Incident,Network Server,No,,2024
"Lamont Hanley & Associates, Inc.",NH,Business Associate,22216,2024-02-22,Hacking/IT Incident,Email,Yes,,2024
interventional Pain and Regenerative Medicine,TX,Healthcare Provider,2843,2024-02-21,Unauthorized Access/Disclosure,Paper/Films,No,,2024
"East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity",NC,Healthcare Provider,19085,2024-02-20,Unauthorized Access/Disclosure,Network Server,No,,2024
"McKenzie County Healthcare System, Inc.",ND,Healthcare Provider,21000,2024-02-16,Unauthorized Access/Disclosure,Email,No,,2024
Hospice of Huntington,WV,Healthcare Provider,9013,2024-02-16,Hacking/IT Incident,Network Server,No,,2024
CareFirst BlueCross BlueShield Community Health Plan – District of Columbia,DC,Business Associate,2189,2024-02-16,Unauthorized Access/Disclosure,Network Server,Yes,,2024
"Mental Health Center of North Central Alabama, Inc.",AL,Healthcare Provider,75667,2024-02-16,Hacking/IT Incident,Network Server,No,,2024
"Employee Benefits Corporation of America and Benefit Design Group, Inc.",VA,Health Plan,38912,2024-02-15,Hacking/IT Incident,Network Server,No,,2024
Qualcomm Incorporated,CA,Health Plan,27038,2024-02-15,Hacking/IT Incident,Network Server,Yes,,2024
Amin Radiology d/b/a Citrus Diagnostic Center ,FL,Healthcare Provider,1273,2024-02-15,Hacking/IT Incident,Network Server,No,,2024
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee",TN,Health Plan,790,2024-02-15,Hacking/IT Incident,Network Server,No,,2024
Lena Pope Home Inc.,TX,Healthcare Provider,3954,2024-02-15,Hacking/IT Incident,Email,No,,2024
Insurance ACE/Humana Inc.,KY,Health Plan,3480,2024-02-14,Unauthorized Access/Disclosure,Paper/Films,Yes,,2024
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan",MA,Healthcare Provider,1096,2024-02-14,Hacking/IT Incident,Network Server,No,,2024
City of Dubuque Fire Department,IA,Healthcare Provider,1381,2024-02-14,Unauthorized Access/Disclosure,Network Server,Yes,,2024
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,755,2024-02-14,Hacking/IT Incident,Email,No,,2024
"Biomatrix Specialty Pharmacy, LLC ",FL,Healthcare Provider,3640,2024-02-13,Hacking/IT Incident,Network Server,No,,2024
"Lexington Health, Inc.",SC,Healthcare Provider,1994,2024-02-12,Hacking/IT Incident,"Email, Other",No,,2024
May Institute ,MA,Healthcare Provider,3318,2024-02-12,Hacking/IT Incident,Network Server,No,,2024
"AGC Flat Glass North America, Inc. Welfare Benefits Plan",GA,Health Plan,13079,2024-02-12,Hacking/IT Incident,Network Server,No,,2024
Coleman Professional Services Inc. ,OH,Healthcare Provider,51889,2024-02-12,Hacking/IT Incident,Email,No,,2024
Tiegerman,NY,Healthcare Provider,19000,2024-02-12,Hacking/IT Incident,Network Server,No,,2024
Prime Healthcare Employee Health Plan,CA,Health Plan,101135,2024-02-09,Hacking/IT Incident,Network Server,Yes,,2024
"CBIZ Marks Paneth, LLC",OH,Business Associate,5562,2024-02-08,Hacking/IT Incident,Network Server,Yes,,2024
Insurance ACE/Humana Inc.,KY,Health Plan,9078,2024-02-08,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server, Other",No,,2024
Liberty Hospital,MO,Healthcare Provider,501,2024-02-08,Hacking/IT Incident,Network Server,No,,2024
"Medical Management Resource Group, L.L.C.",AZ,Business Associate,2350236,2024-02-06,Hacking/IT Incident,Network Server,Yes,,2024
The Bengtson Center for Aesthetics and Plastic Surgery,MI,Healthcare Provider,935,2024-02-05,Unauthorized Access/Disclosure,"Desktop Computer, Network Server",No,,2024
Spectrum Vision Partners,NY,Business Associate,500,2024-02-02,Hacking/IT Incident,Network Server,Yes,,2024
Greater Cincinnati Behavioral Health Services ,OH,Healthcare Provider,50000,2024-02-02,Hacking/IT Incident,Network Server,No,,2024
East Side Health District,IL,Healthcare Provider,559,2024-02-02,Hacking/IT Incident,Network Server,No,,2024
Bloom Health Centers,MD,Healthcare Provider,1954,2024-02-01,Hacking/IT Incident,Email,No,,2024
"Capital Health System, Inc.",NJ,Healthcare Provider,501,2024-01-31,Hacking/IT Incident,Network Server,No,,2024
Crescent Community Health Center,IA,Healthcare Provider,501,2024-01-31,Hacking/IT Incident,Email,No,,2024
Allies for Health + Wellbeing ,PA,Healthcare Provider,680,2024-01-30,Hacking/IT Incident,"Email, Other",No,,2024
"Sun Pain Management, LLC",AZ,Healthcare Provider,2988,2024-01-27,Hacking/IT Incident,Network Server,No,,2024
CNO ACE,IN,Health Plan,65295,2024-01-26,Hacking/IT Incident,Network Server,No,,2024
Kern Regional Center,CA,Healthcare Provider,700,2024-01-26,Unauthorized Access/Disclosure,Email,No,,2024
INTEGRIS Health,OK,Healthcare Provider,2385646,2024-01-26,Hacking/IT Incident,Network Server,No,,2024
"PruittHealth, Inc.",GA,Business Associate,56405,2024-01-26,Hacking/IT Incident,Network Server,Yes,,2024
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”) ",MI,Healthcare Provider,6178,2024-01-24,Hacking/IT Incident,Network Server,No,,2024
"Des Moines Orthopaedic Surgeons, P.C.",IA,Business Associate,55055,2024-01-23,Hacking/IT Incident,Network Server,Yes,,2024
Coastal Hospice & Palliative Care,MD,Healthcare Provider,29100,2024-01-22,Hacking/IT Incident,Network Server,No,,2024
"AHS Management Company, Inc.",TN,Business Associate,23686,2024-01-22,Hacking/IT Incident,Network Server,Yes,,2024
"Des Moines Orthopaedic Surgeons, P.C.",IA,Healthcare Provider,307864,2024-01-22,Hacking/IT Incident,Network Server,No,,2024
"Catholic Charities of the Archdiocese of Miami, Inc.",FL,Healthcare Provider,1170,2024-01-22,Hacking/IT Incident,Network Server,No,,2024
Omaha Firefighters Healthcare Trust ,NE,Health Plan,3567,2024-01-20,Hacking/IT Incident,Email,No,,2024
Native American Health Center,CA,Healthcare Provider,4231,2024-01-18,Hacking/IT Incident,Network Server,No,,2024
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ",MA,Healthcare Provider,846,2024-01-18,Hacking/IT Incident,Email,No,,2024
TGI Direct,MI,Business Associate,11556,2024-01-17,Hacking/IT Incident,Network Server,Yes,,2024
Dickinson County Health Department,KS,Healthcare Provider,1063,2024-01-17,Unauthorized Access/Disclosure,Desktop Computer,No,,2024
"CR Pharmacy Services, Inc. d/b/a CarePro",IA,Healthcare Provider,151499,2024-01-15,Hacking/IT Incident,Network Server,No,,2024
"HORNE, LLP",MS,Business Associate,170052,2024-01-13,Hacking/IT Incident,Network Server,Yes,,2024
Azura Vascular Care,PA,Business Associate,348000,2024-01-13,Hacking/IT Incident,Network Server,Yes,,2024
"Covenant Care California, LLC ",CA,Healthcare Provider,501,2024-01-12,Hacking/IT Incident,Network Server,No,,2024
Family Healthcare Center,ND,Healthcare Provider,6457,2024-01-11,Hacking/IT Incident,Network Server,Yes,,2024
Hampton-Newport News Community Services Board,VA,Healthcare Provider,44312,2024-01-11,Hacking/IT Incident,Network Server,No,,2024
InHealth Technologies,CA,Healthcare Provider,12143,2024-01-09,Hacking/IT Incident,Network Server,No,,2024
Burr & Forman LLP,AL,Business Associate,19893,2024-01-09,Hacking/IT Incident,Network Server,Yes,,2024
Coastal Plains Community Mental Health Mental Retardation Center,TX,Healthcare Provider,500,2024-01-09,Hacking/IT Incident,Network Server,No,,2024
"Concentra Health Services, Inc.",TX,Healthcare Provider,3998163,2024-01-09,Hacking/IT Incident,Network Server,Yes,,2024
"Psychological Holdings, PLLC d/b/a Senior PsychCare",TX,Healthcare Provider,75349,2024-01-08,Hacking/IT Incident,Network Server,No,,2024
Sharp Health Plan,CA,Health Plan,9255,2024-01-08,Hacking/IT Incident,Network Server,Yes,,2024
Catholic Heath Initiative Trinity Medical Center,OH,Healthcare Provider,797,2024-01-08,Hacking/IT Incident,Network Server,Yes,,2024
Daleville Dental II LLC,AL,Healthcare Provider,500,2024-01-05,Hacking/IT Incident,Network Server,No,,2024
Tampa Bay Surgical Group   ,FL,Healthcare Provider,1107,2024-01-05,Loss,Other Portable Electronic Device,No,,2024
"Cooper Clinic, P.A. ",TX,Healthcare Provider,124341,2024-01-05,Hacking/IT Incident,Network Server,No,,2024
"Fincantieri Marine Group, LLC",DC,Health Plan,11535,2024-01-05,Hacking/IT Incident,Network Server,No,,2024
"ConsensioHealth, LLC",WI,Business Associate,60871,2024-01-04,Hacking/IT Incident,Network Server,Yes,,2024
Northern Inyo Healthcare District,CA,Healthcare Provider,1305,2024-01-03,Hacking/IT Incident,Network Server,Yes,,2024
"Amerigroup Iowa, Inc",IN,Business Associate,1023,2024-01-03,Unauthorized Access/Disclosure,Network Server,Yes,,2024
Midwest Long Term Care Services DBA Senior Scripts,MO,Healthcare Provider,10566,2024-01-02,Hacking/IT Incident,Network Server,No,,2024
Community Tri-County Healthcare,AL,Healthcare Provider,5809,2024-01-02,Hacking/IT Incident,Network Server,No,,2024
"Electrostim Medical Services, Inc. d/b/A EMSI",FL,Healthcare Provider,542990,2023-12-28,Hacking/IT Incident,Network Server,No,,2023
Medical Center Barbour,AL,Healthcare Provider,61014,2023-12-27,Hacking/IT Incident,Network Server,No,,2023
Fred Hutchinson Cancer Center,WA,Healthcare Provider,544,2023-12-26,Loss,Laptop,No,,2023
Lake County Health Department and Community Health Center,IL,Healthcare Provider,5000,2023-12-26,Hacking/IT Incident,Email,No,,2023
"Meridian Behavioral Healthcare, Inc.",FL,Healthcare Provider,98808,2023-12-22,Hacking/IT Incident,Network Server,No,,2023
"Mountain Dermatology Specialists, PC",CO,Healthcare Provider,2705,2023-12-22,Hacking/IT Incident,Email,No,,2023
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC",FL,Healthcare Provider,31189,2023-12-22,Hacking/IT Incident,Network Server,No,,2023
Highlands Oncology Group PA,AR,Healthcare Provider,55297,2023-12-22,Hacking/IT Incident,"Desktop Computer, Network Server",No,,2023
Kent County Community Mental Health Authority d/b/a Network180 ,MI,Healthcare Provider,59334,2023-12-22,Hacking/IT Incident,Email,No,,2023
Clay County Social Services,MN,Business Associate,123807,2023-12-22,Hacking/IT Incident,Network Server,Yes,,2023
"The Foleck Center, LTD",VA,Healthcare Provider,6965,2023-12-22,Hacking/IT Incident,Email,No,,2023
"Retina Group of Washington, PLLC",MD,Healthcare Provider,455935,2023-12-22,Hacking/IT Incident,Network Server,No,,2023
Fred Hutchinson Cancer Center,WA,Healthcare Provider,1840927,2023-12-22,Hacking/IT Incident,Network Server,No,,2023
HealthEC LLC,NJ,Business Associate,4656293,2023-12-21,Hacking/IT Incident,Network Server,Yes,,2023
First Choice Dental,WI,Healthcare Provider,1000,2023-12-21,Hacking/IT Incident,Network Server,No,,2023
"Southeastern Orthopaedic Specialists, PA",NC,Healthcare Provider,35533,2023-12-21,Hacking/IT Incident,Network Server,No,,2023
"Plaza Radiology, LLC",TN,Healthcare Provider,569022,2023-12-20,Hacking/IT Incident,"Desktop Computer, Network Server",No,,2023
CompleteCare Health Network,NJ,Healthcare Provider,313973,2023-12-20,Hacking/IT Incident,Network Server,No,,2023
Marathon County Special Education,WI,Healthcare Provider,10079,2023-12-20,Hacking/IT Incident,Email,No,,2023
"ESO Solutions, Inc. ",TX,Business Associate,2700000,2023-12-18,Hacking/IT Incident,Network Server,Yes,,2023
Dallas County,TX,Healthcare Provider,501,2023-12-18,Hacking/IT Incident,Network Server,No,,2023
"Primary Health & Wellness Center, LLC ",MD,Healthcare Provider,4792,2023-12-17,Hacking/IT Incident,Network Server,No,,2023
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers",IL,Healthcare Provider,6351,2023-12-16,Hacking/IT Incident,Email,No,,2023
"Eyefinity, Inc.",CA,Business Associate,1352,2023-12-14,Unauthorized Access/Disclosure,Network Server,Yes,,2023
"D'Youville Life and Wellness Community, Inc.",MA,Healthcare Provider,501,2023-12-14,Hacking/IT Incident,Network Server,No,,2023
Mount Carmel Care Center,MA,Healthcare Provider,501,2023-12-14,Hacking/IT Incident,Network Server,No,,2023
Regional Family Medicine,AR,Healthcare Provider,80166,2023-12-12,Hacking/IT Incident,Network Server,No,,2023
"Cardiothoracic and Vascular Surgeons, P.A.",TX,Healthcare Provider,500,2023-12-12,Hacking/IT Incident,Network Server,No,,2023
Heart of Texas Behavioral Health Network ,TX,Healthcare Provider,63776,2023-12-12,Hacking/IT Incident,Network Server,No,,2023
"Healix Infusion Therapy, LLC",TX,Business Associate,10277,2023-12-11,Hacking/IT Incident,Network Server,Yes,,2023
Keenan & Associates,CA,Health Plan,4631,2023-12-11,Hacking/IT Incident,Network Server,No,,2023
Health Alliance Hospital Mary's Avenue Campus,NY,Healthcare Provider,264197,2023-12-11,Hacking/IT Incident,Network Server,No,,2023
"Independent Living Systems, LLC",FL,Healthcare Provider,19303,2023-12-08,Hacking/IT Incident,Network Server,No,,2023
"Independent Living Systems, LLC",FL,Business Associate,123651,2023-12-08,Hacking/IT Incident,Network Server,Yes,,2023
Akumin Operating Corp.,FL,Healthcare Provider,7127,2023-12-06,Hacking/IT Incident,Network Server,No,,2023
Waterford Country School,CT,Healthcare Provider,500,2023-12-05,Hacking/IT Incident,Network Server,No,,2023
KY Cabinet for Health and Family Services (CHFS),KY,Healthcare Provider,2062,2023-12-03,Hacking/IT Incident,Network Server,Yes,,2023
Cardiovascular Consultants Ltd. ,AZ,Healthcare Provider,484000,2023-12-01,Hacking/IT Incident,Network Server,No,,2023
The Children’s Home of Wyoming Conference,NY,Healthcare Provider,1111,2023-12-01,Hacking/IT Incident,Network Server,No,,2023
"Community Healthcare Network, Inc. ",NY,Healthcare Provider,500,2023-11-30,Hacking/IT Incident,Network Server,No,,2023
"F&E Aviation Holdings, Inc.",FL,Health Plan,3097,2023-11-30,Hacking/IT Incident,Network Server,No,,2023
Chesapeake Regional Healthcare,VA,Healthcare Provider,31679,2023-11-29,Hacking/IT Incident,Network Server,Yes,,2023
"W.P. Malone, Inc. d/b/a AllCare Pharmacy",AR,Healthcare Provider,16341,2023-11-29,Hacking/IT Incident,Network Server,No,,2023
"County of Rock, WI",WI,Healthcare Provider,10853,2023-11-29,Hacking/IT Incident,Network Server,No,,2023
"Foursquare Healthcare, Ltd.",TX,Healthcare Provider,10890,2023-11-27,Hacking/IT Incident,Network Server,No,,2023
Inline Plastics Corp.,CT,Health Plan,4853,2023-11-27,Hacking/IT Incident,Network Server,No,,2023
"Equality Health, LLC",AZ,Healthcare Provider,9240,2023-11-27,Hacking/IT Incident,Email,No,,2023
"Montrose Behavioral Health Hospital, Inc.",IL,Healthcare Provider,597,2023-11-24,Hacking/IT Incident,Email,No,,2023
Morrison Community Hospital District,IL,Healthcare Provider,122488,2023-11-23,Hacking/IT Incident,Network Server,No,,2023
"Molina Healthcare of Iowa, Inc.",IA,Business Associate,1647,2023-11-22,Hacking/IT Incident,Email,Yes,,2023
"Saisystems International, Inc. ",CT,Business Associate,10063,2023-11-22,Hacking/IT Incident,Network Server,Yes,,2023
"East River Medical Imaging, PC",NY,Healthcare Provider,605809,2023-11-22,Hacking/IT Incident,Network Server,No,,2023
Northwest Eye Care Professionals,OR,Healthcare Provider,950,2023-11-22,Hacking/IT Incident,Network Server,No,,2023
Columbus Aesthetic and Plastic Surgery,OH,Healthcare Provider,12677,2023-11-21,Hacking/IT Incident,Network Server,No,,2023
"U.S. Drug Mart, Inc.",TX,Healthcare Provider,48261,2023-11-21,Hacking/IT Incident,"Network Server, Other",Yes,,2023
"TGI Direct, Inc.",MI,Business Associate,16113,2023-11-21,Hacking/IT Incident,Network Server,Yes,,2023
"Detroit Chassis, LLC",MI,Health Plan,958,2023-11-21,Hacking/IT Incident,Network Server,No,,2023
1st Source Bank,IN,Business Associate,1477,2023-11-20,Hacking/IT Incident,Network Server,Yes,,2023
Jacksonville Children's and Multispecialty Clinic,NC,Healthcare Provider,40000,2023-11-17,Hacking/IT Incident,Network Server,No,,2023
"CKF Addiction Treatment, Inc.",KS,Healthcare Provider,501,2023-11-17,Hacking/IT Incident,Email,No,,2023
Community Dental,ME,Healthcare Provider,1523,2023-11-17,Hacking/IT Incident,Network Server,No,,2023
"Community Health Network, Inc.",IN,Healthcare Provider,2271,2023-11-17,Hacking/IT Incident,"Email, Other",No,,2023
Psychiatry Associates of Kansas City,KS,Healthcare Provider,18255,2023-11-17,Hacking/IT Incident,Network Server,No,,2023
Wyoming County Community Health System,NY,Healthcare Provider,26000,2023-11-16,Hacking/IT Incident,Network Server,No,,2023
"CareTree, Inc.",IL,Business Associate,1097,2023-11-15,Hacking/IT Incident,Network Server,Yes,,2023
Endocrine and Psychiatry Center,TX,Healthcare Provider,28531,2023-11-14,Hacking/IT Incident,Network Server,No,,2023
Southwest Behavioral Health Center,UT,Healthcare Provider,17147,2023-11-13,Hacking/IT Incident,Network Server,No,,2023
Woodfords Family Services,ME,Healthcare Provider,6691,2023-11-10,Hacking/IT Incident,Network Server,No,,2023
"Healix Infusion Therapy, LLC",TX,Healthcare Provider,501,2023-11-09,Hacking/IT Incident,Network Server,No,,2023
Warren General Hospital ,PA,Healthcare Provider,168921,2023-11-09,Hacking/IT Incident,Network Server,No,,2023
Mariner Management Group ,OH,Healthcare Provider,1756,2023-11-08,Hacking/IT Incident,Network Server,No,,2023
BBRx Pharmacy,NY,Healthcare Provider,501,2023-11-07,Hacking/IT Incident,Network Server,No,,2023
Mannings 8th Ave Inc.,NY,Healthcare Provider,501,2023-11-07,Hacking/IT Incident,Network Server,No,,2023
Confucius Pharmacy,NY,Healthcare Provider,501,2023-11-07,Hacking/IT Incident,Network Server,No,,2023
"Pharmacy Group of Mississippi, LLC",MS,Healthcare Provider,13129,2023-11-07,Hacking/IT Incident,Network Server,No,,2023
"Prestige Care, Inc.",WA,Healthcare Provider,501,2023-11-06,Hacking/IT Incident,Network Server,No,,2023
Wyndemere Senior Care LLC,IL,Healthcare Provider,6832,2023-11-06,Hacking/IT Incident,Network Server,No,,2023
WellLife Network Inc.,NY,Healthcare Provider,501,2023-11-06,Hacking/IT Incident,Network Server,No,,2023
Healthsoft LLC,GA,Business Associate,1000,2023-11-06,Hacking/IT Incident,Network Server,Yes,,2023
South Austin Health Imaging LLC dba Longhorn Imaging Center,TX,Healthcare Provider,100643,2023-11-03,Hacking/IT Incident,Network Server,Yes,,2023
"Youth and Shelter Services, Inc.",IA,Healthcare Provider,501,2023-11-03,Hacking/IT Incident,Network Server,No,,2023
WACOSA,MN,Healthcare Provider,1380,2023-11-03,Hacking/IT Incident,Network Server,No,,2023
"Westat, Inc.",MD,Business Associate,20045,2023-11-03,Hacking/IT Incident,Network Server,Yes,,2023
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.",NJ,Healthcare Provider,79582,2023-11-03,Hacking/IT Incident,Network Server,No,,2023
"Postmeds, Inc.",CA,Healthcare Provider,2364359,2023-10-30,Hacking/IT Incident,Network Server,Yes,,2023
Longhorn Village,TX,Healthcare Provider,1670,2023-10-30,Hacking/IT Incident,Email,No,,2023
"Frederiksted Health Care, Inc.",,Healthcare Provider,600,2023-10-30,Hacking/IT Incident,Network Server,No,,2023
Northern Iowa Therapy PC,IA,Business Associate,5100,2023-10-29,Hacking/IT Incident,Network Server,Yes,,2023
"JDA eHealth Systems, Inc. d/b/a Parathon",IL,Business Associate,8099,2023-10-27,Hacking/IT Incident,Network Server,Yes,,2023
Hospital Sisters Health System,IL,Business Associate,500,2023-10-26,Hacking/IT Incident,Network Server,Yes,,2023
LCS Financial Services,CO,Business Associate,768,2023-10-24,Hacking/IT Incident,Network Server,Yes,,2023
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity",MI,Healthcare Provider,61033,2023-10-23,Hacking/IT Incident,Network Server,No,,2023
La Red Health Center,DE,Healthcare Provider,39759,2023-10-20,Hacking/IT Incident,Network Server,No,,2023
McLaren Health Care,MI,Healthcare Provider,501,2023-10-20,Hacking/IT Incident,Network Server,No,,2023
City of Philadelphia ,PA,Health Plan,501,2023-10-20,Hacking/IT Incident,Email,No,,2023
Counseling and Recovery Services of Oklahoma,OK,Healthcare Provider,3365,2023-10-19,Hacking/IT Incident,Email,No,,2023
"Hospital & Medical Foundation of Paris, Inc",IL,Healthcare Provider,16598,2023-10-19,Hacking/IT Incident,Network Server,Yes,,2023
Napa Integrated Medicine PC,CA,Business Associate,600,2023-10-19,Theft,Desktop Computer,Yes,,2023
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",MS,Healthcare Provider,501,2023-10-18,Hacking/IT Incident,Network Server,No,,2023
BHI Energy Health and Welfare Benefits Plan,MA,Health Plan,4049,2023-10-18,Hacking/IT Incident,Network Server,No,,2023
Helping the Aging Needy and Disabled Inc,TX,Healthcare Provider,628,2023-10-18,Hacking/IT Incident,Email,No,,2023
Peerstar LLC,PA,Healthcare Provider,11438,2023-10-16,Hacking/IT Incident,Network Server,No,,2023
"Westat, Inc.",MD,Business Associate,51513,2023-10-13,Hacking/IT Incident,Network Server,Yes,,2023
Premier Health Partners and wholly owned covered entities listed in description section below,OH,Healthcare Provider,10833,2023-10-12,Hacking/IT Incident,Network Server,No,,2023
Fellowship Village,NJ,Healthcare Provider,501,2023-10-08,Hacking/IT Incident,Network Server,No,,2023
Carle Health ,IL,Healthcare Provider,679,2023-10-05,Hacking/IT Incident,Network Server,Yes,,2023
Region 4 South Mental Health Consortium,MN,Healthcare Provider,571,2023-10-05,Hacking/IT Incident,Network Server,No,,2023
"Arietis Health, LLC",FL,Business Associate,1975066,2023-09-29,Hacking/IT Incident,Network Server,Yes,,2023
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,895,2023-09-29,Hacking/IT Incident,Network Server,Yes,,2023
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280,2023-09-29,Hacking/IT Incident,Network Server,No,,2023
International Business Machines Corporation,NY,Business Associate,630755,2023-09-29,Unauthorized Access/Disclosure,Other,Yes,,2023
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC",NY,Healthcare Provider,9580,2023-09-29,Hacking/IT Incident,Network Server,No,,2023
"Acadia Health, LLC d/b/a Just Kids Dental",AL,Healthcare Provider,129463,2023-09-27,Hacking/IT Incident,Network Server,No,,2023
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110,2023-09-26,Hacking/IT Incident,Network Server,No,,2023
"AIDS Alabama, Inc.",AL,Healthcare Provider,1922,2023-09-26,Hacking/IT Incident,Network Server,No,,2023
Community First Medical Center,IL,Healthcare Provider,216047,2023-09-26,Hacking/IT Incident,Network Server,No,,2023
Riverdale Mental Health d/b/a Mosaic Mental Health ,NY,Healthcare Provider,7281,2023-09-25,Hacking/IT Incident,Network Server,No,,2023
"Tangoe, Inc.",IN,Health Plan,718,2023-09-25,Hacking/IT Incident,Network Server,No,,2023
"Navvis & Company, LLC",MO,Business Associate,2824726,2023-09-22,Hacking/IT Incident,Network Server,Yes,,2023
"Health First, Inc.",FL,Healthcare Provider,14171,2023-09-22,Hacking/IT Incident,Email,No,,2023
Lakeview Clinic ,MN,Healthcare Provider,624,2023-09-21,Unauthorized Access/Disclosure,Email,No,,2023
"Erlanger Health, Inc.",TN,Healthcare Provider,2753,2023-09-18,Hacking/IT Incident,Network Server,Yes,,2023
"Founder Project Rx, Inc.",TX,Healthcare Provider,30836,2023-09-15,Hacking/IT Incident,Email,No,,2023
Pharm-Pacc Corporation,FL,Business Associate,3749,2023-09-12,Hacking/IT Incident,Network Server,Yes,,2023
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431,2023-09-08,Unauthorized Access/Disclosure,Paper/Films,No,,2023
Ryders Health Management LLC ,CT,Healthcare Provider,7252,2023-09-07,Hacking/IT Incident,Network Server,No,,2023
